Tortoise ID;Tortoise ID 2;PIT-tag ID;Sex;Age;Date first tagged;Date last measured;Last length measurement;Last Width measured;Status (1-Alive 0-Dead);Seen at
NONE;;;U;J;;26/07/2021;57;59;1;1
J30;;;U;J;;09/09/2021;30;30;1;30
J19;;;U;J;;26/07/2021;35;36;1;7
J15;;;U;J;;09/09/2021;32;33;1;30
CS044;;;M;A;;14/07/2021;123;127;1;82
CS043;;;F;A;;16/07/2021;94;98;1;BP U
CS037;;;M;A;;19/07/2021;138;133;1;19
CS036;;;M;A;;28/07/2021;113;112;1;59
CS020;;;M;A;;26/07/2021;150;155;1;69
CS019;;;M;A;;28/07/2021;142;144;1;68
CS015;;;M;A;;14/07/2021;157;157;1;59
CS013;;;M;A;;16/07/2021;140;147;1;Water pump
CS008;;;F;A;;14/07/2021;109;113;1;40
CS005;;;M;A;;14/07/2021;151;142;1;61
CS004;;;M;A;;14/07/2021;137;141;1;60
CS002;;;M;A;;14/07/2021;159;158;1;105
14032;;;F;A;;19/07/2021;103;110;1;71
14015;;;F;A;;19/07/2021;95;113;1;97
1516;;;F;A;;16/07/2021;100;110;1;52
1449;;;F;A;28/07/2021;28/07/2021;93;99;1;
1440;;;U;A;;09/09/2021;73;83;1;27
1439;;;F;A;28/07/2021;28/07/2021;93;98;1;
1438;;;M;A;;28/07/2021;86;90;1;22
1436;;;M;A;19/07/2021;19/07/2021;;;1;
1435;;;M;A;26/07/2021;26/07/2021;142;138;1;68
1433;;;F;A;14/07/2021;14/07/2021;116,4;113,4;1;63
1431;;;F;A;28/07/2021;28/07/2021;107;105;1;72
1429;;;U;A;;16/07/2021;91;90;1;52
1423;;;M;A;;14/07/2021;146;137;1;59
1421;;;F;A;;28/07/2021;99;110;1;
1421;;;U;A;;04/08/2021;78;89;1;23
1420;;;U;A;;16/07/2021;83,5;94;1;
1419;;;F;A;;14/07/2021;97;98;1;40
1418;;;F;A;;14/07/2021;97,3;99;1;62
1414;;;F;A;;16/07/2021;129;128;1;
1410;;;F;A;;14/07/2021;109;115;1;38
1409;;;F;A;;28/07/2021;96;108;1;71
1405;;;M;A;;27/08/2021;76,5;93;1;33
1400;;;F;A;;12/07/2021;89,4;98,5;1;
1315;;;M;A;;14/07/2021;120;123;1;61
1314;;;F;A;;26/07/2021;100;100;1;69
1312;;;F;A;;04/08/2021;98;110;1;22
1302;;;M;A;;14/07/2021;147;143,5;1;105
1292;;;M;A;;14/07/2021;155;161;1;105
40;;;F;A;;14/07/2021;106;115;1;60
27;;;U;J;;25/10/2021;23,5;24,5;1;83
26;;;U;J;;23/09/2021;26;26;1;6
25;;;U;J;;21/09/2021;42;41;1;104
24;;;U;J;;15/09/2021;51;52;1;32
23;;;U;J;;02/09/2021;25,2;24;1;45
22;;;U;J;;02/09/2021;57;66;1;45
21;;;U;J;;02/09/2021;61;66;1;33
20;;;U;J;;02/09/2021;38,6;41,6;1;33
19;;;U;J;;02/09/2021;40,8;42;1;33
18;;;U;J;;01/09/2021;39,5;39;1;36
17;;;U;J;27/08/2021;27/08/2021;60;66;1;23
16;;;U;J;24/08/2021;24/08/2021;49,1;56,2;1;94
15;;;U;J;14/08/2021;14/08/2021;43;46,8;1;
14;;;U;J;;07/08/2021;32,8;31;1;89
13;;;U;J;;06/08/2021;55;61;1;54
12;;;U;J;05/08/2021;05/08/2021;44;48;1;10
11;;;U;J;28/07/2021;28/07/2021;30;30;1;46
10;;;U;J;28/07/2021;28/07/2021;25;23;1;54
9;;;U;J;27/07/2021;27/07/2021;39;45;1;81
8;;;U;J;27/07/2021;27/07/2021;29;31;1;91
7;;;U;J;19/07/2021;19/07/2021;29;30;1;6
6;;;U;J;19/07/2021;19/07/2021;61;74;1;38
5;;;U;J;19/07/2021;19/07/2021;42;42;1;Tank
4;;;U;J;19/07/2021;19/07/2021;50;40;1;
4;;;U;J;27/07/2021;28/07/2021;51;56;1;47
1;;;U;J;13/07/2021;13/07/2021;41;42,4;1;
;;;M;A;;14/07/2021;116;111;1;
;;;F;A;;16/07/2021;103,5;118;1;
;;;U;A;;19/07/2021;80;83;1;107
;;;F;A;;19/07/2021;104;114;1;94
28;;;U;J;;09/03/2022;24,1;26,3;1;
