;;;;;;;;;;;;;;;;;;;Nests Laid on Cousin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;30;53;0;136;114;131;182;209;112;102;594;590;543;376;781;349;439;541;571;583;568;495;492;551;386;266;85;360;246;;;;
Existing Left tag;Existing Right Tag;Primary left tag;Primary right tag;Place 1ary tagging;Date primary tagging;Year Primary Tagging;2ary left tag;Date 2ary left tagging;2ary right tag;Date 2ary right tagging;3ary left tag;Date 3ary left tagging;3ary right tag;Date 3ary right tagging;4ary left tag;Date 4ary left tagging;4ary right tag;Date 4ary right tag;1996-97;1997-98;1998-99;1999-00;2000-01;2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-2012;2012-2013;2013-2014;2014-2015;2015- 2016;2016- 2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2024-2025;Seasons Nested;Maximum Seasonal Nests;Minimum Seasonal Nests;Species
SCA 2724;SCA 2725;SCA 2724;SCA 2725;Cousin;25/02/2009;2009;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;2;1;1;GR
SEY 6195;SEY 6196;;X 3479;Cousin;;1992;SEY 6195;;SEY 6196;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;1;1;GR
SXX 0480;SXX 0481;SXX 0480;SXX 0481;Cousin;18/11/2016;2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;1;1;GR
SXX 3476;SXX 3477;SXX 3476;SXX 3477;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;1;1;GR
E 066;E 092;E 066;E 092;Cousine;20/12/1993;1993;;;;;;;;;;;;;;;;;;;;;;;;2;;;3;;;;1;;;;;;;;;;;3;3;1;HB
A 2434;A 2435;A 2434;A 2435;Cousin;;1979;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;1;4;4;HB
A 2462;;A 2462;;Cousin;;1979;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;0;HB
X 3601;A 2508;A2509;A 2508;Cousin;;1979;X 3601;12/11/1996;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;0;HB
A 2442;A 2441;A 2442;A 2441;Cousin;;1979;;;;;;;;;;;;;2;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;2;HB
SEY 2425;X 3510;A 2518;;Cousin;;1979;X 3509;;X 3510;;SEY 2425;;;;;;;;;4;;;1;;2;;;;4;;3;;3;;4;;3;;3;;;;;;;;1;9;4;1;HB
SEY 0351;A 2533;;A 2533;Cousin;;1979;SEY 0351;;;;;;;;;;;;;;;;;;1;;;3;;;;;;;;;;;;;;;;;;;;2;3;1;HB
SEY 7044;SEY 7045;;M 0348;Cousin;;1982;SEY 0341;11/09/1997;SEY 0354;11/06/1999;SEY 7044;11/09/2013;SEY 7045;11/09/2013;;;;;;1;;1;;;2;;;;;;1;;4;;;2;;;;;;;;;;;;5;4;1;HB
M 1809;M 1810;M 1809;M 1810;Cousin;;1986;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;0;HB
M 1826;M 1827;M 1826;M 1827;Cousin;;1986;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;1;3;3;HB
M 1891;M 1890;M 1891;M 1890;Cousin;;1986;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;0;HB
M 2064;M 2062;M 2064;M 2062;Cousin;;1986;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;0;HB
M 2098;X 3436;M 2098;;Cousin;;1986;;;X 3436;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;2;HB
X 3680;M 1849;;M 1849;Cousin;;1986;X 3680;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;1;2;2;HB
QQH 475;SEY 2915;M 0301;M 1846;Cousin;;1986;QQH 475;;SEY 2915;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;2;1;1;HB
SEY 8649;SEY 6200;M 2042;M 2041;Cousin;;1986;SEY 8649;10/10/2006;SEY 6200;11/11/2004;;;;;;;;;;;;;;;;;2;;4;;2;;;;;;;;;;;;;;;;;3;4;2;HB
SCA 2796;X 3787;M 2036;X 3787;Cousin;;1986;SCA 2796;15/11/2009;X 3787;;;;;;;;;;;;;;2;;;;1;;;;;3;;;;;;2;;;;;;;;;;4;3;1;HB
M 1844;SEY 6675;M 1844;M 2039;Cousin;;1986;;;SEY 0345;14/10/1997;;;SEY 6675;17/10/2004;;;;;;2;;1;;;2;;2;;;;;;;;;;;;;;;;;;;;;3;2;1;HB
M 1913;M 1912;M 1913;M 1912;Cousin;;1987;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;HB
M 1917;M 1916;M 1917;M 1916;Cousin;;1987;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;0;HB
QQH 457;QQH 454;QQH 457;QQH 454;Cousin;;1990;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;0;HB
SEY 0466;SEY 0465;QQH 318;QQH 317;Cousin;;1990;SEY 0466;30/12/1997;SEY 0465;30/12/1997;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;1;1;HB
QQH 344;QQH 345;QQH 344;QQH 345;Cousin;;1990;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;1;3;3;HB
QQH 309;QQH 308;QQH 309;QQH 308;Cousin;;1990;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;0;HB
